"zip","city","county","pop"
"39503","Gulfport","Harrison","56418"
"38654","Olive Branch","De Soto","53995"
"38655","Oxford","Lafayette","44339"
"39759","Starkville","Oktibbeha","43941"
"39110","Madison","Madison","43336"
"39564","Ocean Springs","Jackson","40946"
"39401","Hattiesburg","Forrest","40933"
"39402","Hattiesburg","Forrest","40886"
"39047","Brandon","Rankin","40496"
"39532","Biloxi","Harrison","37837"
"38671","Southaven","De Soto","37798"
"39042","Brandon","Rankin","36793"
"39208","Pearl","Rankin","32926"
"39212","Jackson","Hinds","32680"
"39180","Vicksburg","Warren","31720"
"39120","Natchez","Adams","30733"
"38801","Tupelo","Lee","29889"
"38834","Corinth","Alcorn","29190"
"39466","Picayune","Pearl River","28348"
"39046","Canton","Madison","27693"
"38632","Hernando","De Soto","27467"
"38637","Horn Lake","De Soto","27290"
"39209","Jackson","Hinds","26835"
"39452","Lucedale","George","26818"
"39056","Clinton","Hinds","25357"
"39350","Philadelphia","Neshoba","25015"
"39301","Meridian","Lauderdale","24911"
"39157","Ridgeland","Madison","24811"
"39702","Columbus","Lowndes","23967"
"39211","Jackson","Hinds","23872"
"39501","Gulfport","Harrison","23807"
"39206","Jackson","Hinds","23641"
"39601","Brookhaven","Lincoln","23635"
"38930","Greenwood","Leflore","23406"
"38701","Greenville","Washington","22296"
"39194","Yazoo City","Yazoo","22156"
"39465","Petal","Forrest","22111"
"39443","Laurel","Jones","21505"
"39440","Laurel","Jones","21365"
"39073","Florence","Rankin","21277"
"38863","Pontotoc","Pontotoc","20526"
"39305","Meridian","Lauderdale","20419"
"39213","Jackson","Hinds","20379"
"39648","Mccomb","Pike","20349"
"39565","Ocean Springs","Jackson","20164"
"39520","Bay Saint Louis","Hancock","19072"
"38829","Booneville","Prentiss","18644"
"38901","Grenada","Grenada","17668"
"39426","Carriere","Pearl River","17571"
"39562","Moss Point","Jackson","17447"
"39553","Gautier","Jackson","17437"
"38614","Clarksdale","Coahoma","17353"
"39560","Long Beach","Harrison","17276"
"39507","Gulfport","Harrison","17004"
"39307","Meridian","Lauderdale","16926"
"39531","Biloxi","Harrison","16892"
"38611","Byhalia","Marshall","16885"
"38804","Tupelo","Lee","16602"
"39429","Columbia","Marion","16540"
"38732","Cleveland","Bolivar","16418"
"39051","Carthage","Leake","16199"
"38635","Holly Springs","Marshall","16173"
"38652","New Albany","Union","16088"
"39204","Jackson","Hinds","15933"
"38606","Batesville","Panola","15538"
